Known As,Full Name,Overall,Value(in Euro),Positions Played,Best Position,Nationality,Age,Height(in cm),Weight(in kg),BaseStats,Club Name,Wage(in Euro),Release Clause,Club Position,Contract Until,Club Jersey Number,Joined On,On Loan,Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,National Team Name,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total
L. Messi,Lionel Messi,91,54000000,RW,CAM,Argentina,35,169,67,452,Paris Saint-Germain,195000,99900000,RW,2023,30,2021,-,Left,4,4,5,Argentina,RW,10,Low,Low,81,89,90,94,34,64
K. Benzema,Karim Benzema,91,64000000,"CF,ST",CF,France,34,185,81,455,Real Madrid CF,450000,131199999,CF,2023,9,2009,-,Right,4,4,4,France,ST,19,Medium,Medium,80,88,83,87,39,78
R. Lewandowski,Robert Lewandowski,91,84000000,ST,ST,Poland,33,185,81,458,FC Barcelona,420000,172200000,ST,2025,9,2022,-,Right,4,4,5,Poland,ST,9,High,Medium,75,91,79,86,44,83
K. De Bruyne,Kevin De Bruyne,91,107500000,"CM,CAM",CM,Belgium,31,181,70,483,Manchester City,350000,198900000,CM,2025,17,2015,-,Right,5,4,4,Belgium,RF,7,High,High,74,88,93,87,64,77
K. Mbappé,Kylian Mbappé,91,190500000,"ST,LW",ST,France,23,182,73,470,Paris Saint-Germain,230000,366700000,ST,2024,7,2018,-,Right,4,5,4,France,ST,10,High,Low,97,89,80,92,36,76
M. Salah,Mohamed Salah,90,115500000,RW,RW,Egypt,30,175,71,471,Liverpool,270000,213700000,RW,2023,11,2017,-,Left,3,4,4,-,-,-,High,Medium,90,89,82,90,45,75
T. Courtois,Thibaut Courtois,90,90000000,GK,GK,Belgium,30,199,96,473,Real Madrid CF,250000,191300000,GK,2026,1,2018,-,Left,3,1,4,Belgium,GK,1,Medium,Medium,84,89,75,90,46,89
M. Neuer,Manuel Neuer,90,13500000,GK,GK,Germany,36,193,93,501,FC Bayern München,72000,22300000,GK,2024,1,2011,-,Right,4,1,5,Germany,GK,1,Medium,Medium,87,88,91,88,56,91
Cristiano Ronaldo,C. Ronaldo dos Santos Aveiro,90,41000000,ST,ST,Portugal,37,187,83,445,Manchester United,220000,77900000,SUB,2023,7,2021,-,Right,4,5,5,Portugal,ST,7,High,Low,81,92,78,85,34,75
V. van Dijk,Virgil van Dijk,90,98000000,CB,CB,Netherlands,30,193,92,461,Liverpool,230000,181300000,CB,2025,4,2018,-,Right,3,2,4,Netherlands,CB,4,Medium,High,81,60,71,72,91,86
H. Kane,Harry Kane,89,105500000,ST,ST,England,28,188,89,453,Tottenham Hotspur,240000,200500000,ST,2024,10,2010,-,Right,5,3,4,England,ST,9,High,High,68,91,83,82,47,82
Neymar Jr,Neymar da Silva Santos Jr.,89,99500000,LW,LW,Brazil,30,175,68,446,Paris Saint-Germain,200000,184100000,LW,2025,10,2017,-,Right,5,5,5,-,-,-,High,Medium,87,83,85,93,37,61
H. Son,Heung Min Son,89,101000000,"LW,LM",LW,Korea Republic,29,183,78,456,Tottenham Hotspur,240000,191900000,LW,2025,7,2015,-,Right,5,4,4,-,-,-,High,Medium,88,89,82,86,42,69
Casemiro,Carlos Henrique Venancio Casimiro,89,86000000,CDM,CDM,Brazil,30,185,84,460,Manchester United,240000,163400000,SUB,2026,18,2022,-,Right,3,2,3,-,-,-,Medium,High,63,73,75,72,87,90
J. Oblak,Jan Oblak,89,85500000,GK,GK,Slovenia,29,188,87,479,Atlético de Madrid,100000,181700000,GK,2023,13,2014,-,Right,3,1,5,-,-,-,Medium,Medium,86,90,78,89,49,87
S. Mané,Sadio Mané,89,99500000,"LM,CF",LM,Senegal,30,174,69,462,FC Bayern München,145000,164200000,ST,2025,17,2022,-,Right,4,4,4,-,-,-,High,Medium,90,83,80,88,44,77
Ederson,Ederson Santana de Moraes,89,88000000,GK,GK,Brazil,28,188,86,502,Manchester City,210000,169400000,GK,2026,31,2017,-,Left,3,1,3,-,-,-,Medium,Medium,87,82,93,88,64,88
J. Kimmich,Joshua Kimmich,89,105500000,"CDM,RB",CDM,Germany,27,177,75,473,FC Bayern München,130000,182000000,CDM,2025,6,2015,-,Right,4,3,4,Germany,CDM,6,High,Medium,68,72,87,84,83,79
Alisson,Alisson Ramses Becker,89,79000000,GK,GK,Brazil,29,191,91,489,Liverpool,190000,152100000,GK,2027,1,2018,-,Right,3,1,3,-,-,-,Medium,Medium,86,85,85,89,54,90
N. Kanté,N'Golo Kanté,89,72000000,"CDM,CM",CDM,France,31,168,70,462,Chelsea,220000,133199999,CM,2023,7,2016,-,Right,3,2,4,France,CDM,13,Medium,High,72,66,74,81,87,82
